Tool1; Workpiece0; Square-1;
Square: 3.56421154290923e-05;
Object type; node id;
Workpiece0; 0;
Workpiece0; 48;
Workpiece0; 49;
Workpiece0; 50;
Workpiece0; 51;
Workpiece0; 52;
Workpiece0; 53;
Workpiece0; 54;
Workpiece0; 55;
Workpiece0; 56;
Workpiece0; 57;
Workpiece0; 58;
Workpiece0; 59;
Tool1; 17;
Tool1; 18;
Tool1; 19;
Tool1; 20;
Tool1; 21;
Tool1; 22;
Tool1; 23;
Tool1; 24;
Tool1; 25;
Tool1; 26;
Tool1; 27;
Tool1; 27;
Tool1; Workpiece0; Square-1;
Square: 1.23754761225813e-06;
Object type; node id;
Workpiece0; 74;
Workpiece0; 75;
Workpiece0; 76;
Workpiece0; 77;
Tool1; 4;
Tool1; 5;
Tool1; 6;
Tool1; 7;
Tool1; 7;
Tool2; Workpiece0; Square-1;
Square: 1.97908123053515e-06;
Object type; node id;
Workpiece0; 2;
Workpiece0; 3;
Workpiece0; 4;
Workpiece0; 5;
Workpiece0; 6;
Tool2; 58;
Tool2; 59;
Tool2; 60;
Tool2; 61;
Tool2; 2;
Tool2; 2;
Tool2; Workpiece0; Square-1;
Square: 1.69882633235616e-05;
Object type; node id;
Workpiece0; 21;
Workpiece0; 22;
Workpiece0; 23;
Workpiece0; 24;
Workpiece0; 25;
Workpiece0; 26;
Workpiece0; 27;
Workpiece0; 28;
Workpiece0; 29;
Workpiece0; 30;
Workpiece0; 31;
Tool2; 38;
Tool2; 39;
Tool2; 40;
Tool2; 41;
Tool2; 42;
Tool2; 43;
Tool2; 44;
Tool2; 45;
Tool2; 46;
Tool2; 46;
